store_code,region,branch_name,display_name,open_date,address
001,서울,서울 동대문점,오늘은 오므라이스 서울 동대문점,2024-10-01,서울특별시 동대문구 서울시립대로3길6
002,서울,서울 마포점,오늘은 오므라이스 서울 마포점,2025-12-04,서울특별시 마포구 신촌로14길30 2층
003,서울,서울 신림점,오늘은 오므라이스 서울 신림점,2026-05-19,서울특별시 관악구 은천로 9 1층
004,서울,서울 연신내점,오늘은 오므라이스 서울 연신내점,2026-01-15,서울특별시 은평구 갈현로302-3 1층
005,경남,경남 진주점,오늘은 오므라이스 경남 진주점,2024-12-04,경상남도 진주시 진양호로532번길 10
006,서울,서울 강동점,오늘은 오므라이스 서울 강동점,2024-12-11,서울특별시 강동구 양재대로125길 42 지하1층
007,부산,부산 사하점,오늘은 오므라이스 부산 사하점,2024-12-21,부산광역시 사하구 하신번영로157번길 22
008,부산,부산 해운대점,오늘은 오므라이스 부산 해운대점,2024-12-21,부산광역시 해운대구 중동 794-11 1층 101일부호
009,서울,서울 중랑점,오늘은 오므라이스 서울 중랑점,2024-12-19,서울특별시 중랑구 면목로31길 22
010,경기,경기 안양점,오늘은 오므라이스 경기 안양점,2024-12-30,경기도 안양시 만안구 장내로139번길 52 3층 301호
011,서울,서울 수유점,오늘은 오므라이스 서울 수유점,2026-05-01,서울특별시 강북구 도봉로95길 51 1층
012,서울,서울 광진점,오늘은 오므라이스 서울 광진점,2025-02-04,서울특별시 광진구 군자로35
013,경기,경기 부천점,오늘은 오므라이스 경기 부천점,2025-01-21,경기도 부천시 원미구 부흥로307번길31 108호
014,경기,경기 안산점,오늘은 오므라이스 경기 안산점,2025-01-23,경기도 안산시 상록구 본삼로38 B01호 일부108호
015,경북,경북 포항 북구 홍해점,오늘은 오므라이스 경북 포항 북구 홍해점,2025-02-06,포항시 북구 홍해읍 초곡지구로58번길 14
016,경북,경북 포항 북구점,오늘은 오므라이스 경북 포항 북구점,2025-02-06,포항시 북구 법원로115번길 5
017,경북,경북 포항 남구 오천점,오늘은 오므라이스 경북 포항 남구 오천점,2026-03-17,포항시 남구 오천읍 원동로131번길 7
018,서울,서울 송파점,오늘은 오므라이스 서울 송파점,2025-02-10,서울특별시 송파구 오금로29길 4-1
019,충북,충북 청주점,오늘은 오므라이스 충북 청주점,2025-02-04,충청북도 청주시 서원구 1순환로 642 지하1층103호
020,경기,경기 하남점,오늘은 오므라이스 경기 하남점,2025-02-13,경기도 하남시 미사강변대로52 112호
021,전남,전남 순천점,오늘은 오므라이스 전남 순천점,2025-12-01,"전라남도 순천시 남신월4길 9-24, 2층 2호"
022,경남,경남 양산웅상점,오늘은 오므라이스 경남 양산웅상점,2025-03-05,경상남도 양산시 평산북2길 27
023,부산,부산 기장점,오늘은 오므라이스 부산 기장점,2025-05-09,"부산광역시 기장군 정관읍 매학리 718-4, 122호"
024,대전,대전점,오늘은 오므라이스 대전점,2026-04-07,대전광역시 대덕구 한남로38번길15 1층
025,세종,세종점,오늘은 오므라이스 세종점,2025-03-14,세종특별자치시 달빛로77 상가동 1층 102호
026,경기,경기 구리점,오늘은 오므라이스 경기 구리점,2025-03-14,경기도 구리시 검배로104 1층
027,세종,세종 조치원점,오늘은 오므라이스 세종 조치원점,2025-04-01,"세종특별자치시 조치원읍 행복10길 11, 1층 B호"
028,충남,충남 공주점,오늘은 오므라이스 충남 공주점,2025-03-20,"충청남도 공주시 번영3로 52-3, 102호"
029,서울,서울 영등포점,오늘은 오므라이스 서울 영등포점,2025-03-19,서울특별시 영등포구 도신로 143 1층
030,경남,경남 양산평산점,오늘은 오므라이스 경남 양산평산점,2025-03-24,경상남도 양산시 평산북2길 27
031,경기,경기 산본점,오늘은 오므라이스 경기 산본점,2025-04-28,경기도 군포시 금정동 764-63 1층
032,전남,전남 광양점,오늘은 오므라이스 전남 광양점,2025-04-05,전라남도 광양시 광양읍 인서중앙길 18
033,전남,전남 중마점,오늘은 오므라이스 전남 중마점,2025-04-05,전라남도 광양시 중마로 230 상가 204호
034,광주,광주 월계점,오늘은 오므라이스 광주 월계점,2025-04-20,"광주광역시 광산구 첨단중앙로106번길 65-3, 1층 122호"
035,대구,대구 서구점,오늘은 오므라이스 대구 서구점,2025-04-10,대구광역시 서구 서대구로 21길 12
036,충남,충남 천안점,오늘은 오므라이스 충남 천안점,2025-04-19,충청남도 천안시 동남구 원성25길 13-7 1층
037,대구,대구 율하점,오늘은 오므라이스 대구 율하점,2025-05-09,대구광역시 동구 율하동로19길 11
038,대구,대구 수성점,오늘은 오므라이스 대구 수성점,2025-05-08,대구광역시 수성구 들안로 48길 42
039,경남,경남 진해점,오늘은 오므라이스 경남 진해점,2025-05-09,경상남도 창원시 진해구 웅천동로106번길 19
040,서울,서울 성신여대점,오늘은 오므라이스 서울 성신여대점,2025-05-24,서울특별시 성북구 동소문로22길 19-2 1층
041,제주,제주점,오늘은 오므라이스 제주점,2025-05-28,제주특별자치도 제주시 한립읍 한림로 685-3
042,경기,경기 분당수내점,오늘은 오므라이스 경기 분당수내점,2025-05-21,경기도 성남시 분당구 내정로 165번길 38 602동2층 219-2호
043,충남,충남 천안쌍용점,오늘은 오므라이스 충남 천안쌍용점,2025-05-30,충청남도 천안시 서북구 쌍용16길 46 1층
044,경기,경기 수원인계점,오늘은 오므라이스 경기 수원인계점,2025-06-13,경기도 수원시 팔달구 경수대로507번길 14
045,인천,인천 부평점,오늘은 오므라이스 인천 부평점,2025-06-05,인천광역시 부평구 부평동 882-7
046,경기,경기 안산고잔점,오늘은 오므라이스 경기 안산고잔점,2025-05-30,경기도 안산시 단원구 광덕4로 144 a동 109호
